ManuscriptItem,FigureFile,PrimaryClaim,SourceDataRoute,ScriptOrCode,CurrentStatus,NextAction
Fig1_LCOH_map,manuscript/figs/fig_LCOH_map_manu.pdf,Spatial offshore hydrogen cost geography and wind-resource context,"Large checkpoint arrays and public climate/bathymetry/geospatial inputs; final PDF is tracked",scripts/plotFigures.m,partial,"Export lightweight map/source summary tables or archive derived arrays in DOI repository"
Fig2_LCOH_curves,manuscript/figs/fig_LCOH_curves_manu.pdf,Country cost-supply curves show LCOH rank is not enough,"Restored original PDF is tracked; matching source checkpoint has not yet been recovered and current local stop3.mat changes the Norway curve",scripts/figures/plotMainCostFigures.m,restored_pdf_only,"Recover original checkpoint or export curve points from the original source workbook/PDF before final repository archival"
Fig3_cost_table,manuscript/figs/fig_cost_table.pdf,Average LCOH marginal LCOH and blue-hydrogen-competitive capacity rank countries differently,"results/tables/NC_lcoh_rank_table.csv exported from tables/tables.xlsx sheet cost table",scripts/plotFigures.m,available,"None for headline values; keep workbook archived for provenance"
Fig4_unit_commitment,manuscript/figs/fig_unit_commitment_main.pdf,Power-system operation across years seasons blending ratios and export conditions,"results/tables/NC_ireland_curtailment_summary.csv for text values; full hourly generation remains in stop3.mat",scripts/plotFigures.m,summary_available,"Export full hourly plotted generation values if required as source data"
Fig5_export_potential,manuscript/figs/fig_wind_decomposition.pdf,Domestic absorption limits create uneven exportable surplus across Europe,"results/tables/NC_domestic_export_potential.csv exported from stop3.mat EUwindConsump_new",scripts/plotFigures.m,available,"None for country-year decomposition values"
Fig6_trade_sankey,manuscript/figs/fig_hy_am_flow_sankey.pdf,Optimized trade reallocates carbon-mitigation value,"solution tradingArray and carbonReductionContributionMatrix in large checkpoint; headline values in NC_headline_numbers.csv",scripts/plotFigures.m,partial,"Export plotted flow and carbon-contribution matrices to CSV"
Fig7_counterfactual,manuscript/figs/fig_nc_lcoh_counterfactual.pdf,LCOH-only allocation misidentifies strategic exporters,"results/tables/NC_story_comparison.csv; results/tables/NC_story_comparison_country.csv",scripts/analysis/runLCOHOnlyCounterfactual.m,available,"None for source-data coverage"
Fig8_outside_option,manuscript/figs/fig_nc_outside_option_robustness.pdf,External import price defines a threshold for European offshore supply,"results/tables/NC_outside_option_sensitivity.csv; results/tables/NC_outside_option_sensitivity_country.csv",scripts/analysis/runOutsideOptionSensitivity.m,available,"None for source-data coverage"
SI_domestic_absorption_sensitivity,manuscript/supplementary/J14___Supplementary_Information_v0_2/sn-article.tex,Domestic absorption scaling changes quantities but keeps Ireland strategically important,"results/tables/NC_domestic_absorption_sensitivity.csv; results/tables/NC_domestic_absorption_sensitivity_country.csv",scripts/analysis/runDomesticAbsorptionSensitivity.m,available,"None for source-data coverage"
Headline_numbers,manuscript/sn-article.tex,Abstract and Results numbers are auditable,"results/tables/NC_headline_numbers.csv plus NC_lcoh_rank_table.csv NC_ireland_curtailment_summary.csv and NC_domestic_export_potential.csv",scripts/analysis/runLCOHOnlyCounterfactual.m,available,"Add DOI after repository archival"
